gen,best_in_gen,best_so_far,mean_fitness,elapsed_sec
270,0.019322,0.015000,0.023581,17752.7
271,0.020228,0.015000,0.025264,17825.4
272,0.018032,0.015000,0.023227,17896.7
273,0.018340,0.015000,0.023662,17964.9
274,0.018714,0.015000,0.023585,18032.1
275,0.017975,0.015000,0.023149,18099.7
276,0.018016,0.015000,0.023625,18167.4
277,0.018348,0.015000,0.023173,18235.1
278,0.018626,0.015000,0.023523,18302.8
279,0.019097,0.015000,0.024253,18370.5
280,0.019529,0.015000,0.023744,18438.3
281,0.020212,0.015000,0.023994,18506.6
282,0.018557,0.015000,0.023420,18574.0
283,0.019616,0.015000,0.023512,18640.8
284,0.019200,0.015000,0.023302,18707.6
285,0.019043,0.015000,0.023541,18770.2
286,0.018660,0.015000,0.023495,18833.3
287,0.017212,0.015000,0.024034,18896.4
288,0.018896,0.015000,0.023441,18959.7
289,0.019417,0.015000,0.023028,19022.8
290,0.019396,0.015000,0.023720,19086.6
291,0.017623,0.015000,0.023325,19150.2
292,0.019292,0.015000,0.023500,19213.9
293,0.019021,0.015000,0.023495,19277.6
294,0.018723,0.015000,0.023166,19341.2
295,0.018901,0.015000,0.024113,19405.6
296,0.018738,0.015000,0.023432,19469.7
297,0.017865,0.015000,0.023335,19533.2
298,0.018824,0.015000,0.024014,19597.4
299,0.019877,0.015000,0.023522,19661.2
