step,m_k0,m_k1,m_k2
659,0.039697,0.004280,-0.017321
660,0.048711,0.005240,-0.021250
661,0.047504,0.005111,-0.020724
662,0.046357,0.004989,-0.020224
663,0.045265,0.004872,-0.019748
664,0.044227,0.004762,-0.019295
665,0.043240,0.004656,-0.018865
666,0.042300,0.004556,-0.018455
667,0.041407,0.004461,-0.018065
668,0.040557,0.004370,-0.017695
669,0.039748,0.004284,-0.017342
670,0.048764,0.005244,-0.021273
671,0.047557,0.005115,-0.020747
672,0.046409,0.004992,-0.020246
673,0.045317,0.004876,-0.019770
674,0.044278,0.004765,-0.019317
675,0.043290,0.004660,-0.018886
676,0.042350,0.004559,-0.018476
677,0.041456,0.004464,-0.018086
678,0.040605,0.004373,-0.017715
679,0.039796,0.004287,-0.017363
680,0.048774,0.005226,-0.021274
681,0.047568,0.005098,-0.020748
682,0.046421,0.004977,-0.020248
683,0.045330,0.004861,-0.019773
684,0.044292,0.004751,-0.019320
685,0.043305,0.004646,-0.018890
686,0.042366,0.004547,-0.018481
687,0.041473,0.004452,-0.018091
688,0.040623,0.004362,-0.017721
689,0.039815,0.004276,-0.017368
690,0.048854,0.005232,-0.021307
691,0.047646,0.005104,-0.020780
692,0.046497,0.004982,-0.020279
693,0.045404,0.004866,-0.019803
694,0.044365,0.004756,-0.019350
695,0.043376,0.004651,-0.018919
696,0.042435,0.004551,-0.018509
697,0.041540,0.004457,-0.018119
698,0.040689,0.004366,-0.017747
699,0.039879,0.004280,-0.017395
700,0.048848,0.005226,-0.021303
701,0.047642,0.005098,-0.020777
702,0.046495,0.004977,-0.020277
703,0.045403,0.004861,-0.019802
704,0.044365,0.004751,-0.019349
705,0.043378,0.004646,-0.018919
706,0.042439,0.004547,-0.018509
707,0.041545,0.004452,-0.018120
708,0.040695,0.004362,-0.017749
709,0.039887,0.004277,-0.017397
710,0.048951,0.005241,-0.021346
711,0.047741,0.005113,-0.020819
712,0.046591,0.004991,-0.020318
713,0.045497,0.004874,-0.019841
714,0.044456,0.004764,-0.019387
715,0.043466,0.004659,-0.018955
716,0.042524,0.004559,-0.018545
717,0.041628,0.004464,-0.018154
718,0.040776,0.004373,-0.017783
719,0.039965,0.004287,-0.017430
720,0.048968,0.005243,-0.021353
721,0.047759,0.005115,-0.020826
722,0.046609,0.004992,-0.020325
723,0.045515,0.004876,-0.019849
724,0.044475,0.004766,-0.019395
725,0.043486,0.004660,-0.018964
726,0.042544,0.004560,-0.018554
727,0.041649,0.004465,-0.018163
728,0.040797,0.004375,-0.017792
729,0.039987,0.004289,-0.017439
730,0.048996,0.005245,-0.021365
731,0.047787,0.005117,-0.020838
732,0.046637,0.004994,-0.020337
733,0.045544,0.004878,-0.019861
734,0.044504,0.004767,-0.019407
735,0.043514,0.004662,-0.018976
736,0.042573,0.004562,-0.018566
737,0.041677,0.004467,-0.018175
738,0.040826,0.004376,-0.017804
739,0.040016,0.004290,-0.017451
740,0.048982,0.005241,-0.021359
741,0.047775,0.005113,-0.020833
742,0.046627,0.004991,-0.020333
743,0.045536,0.004875,-0.019857
744,0.044497,0.004764,-0.019404
745,0.043509,0.004659,-0.018974
746,0.042569,0.004559,-0.018564
747,0.041676,0.004464,-0.018174
748,0.040825,0.004374,-0.017804
749,0.040016,0.004288,-0.017451
750,0.049008,0.005242,-0.021370
751,0.047802,0.005114,-0.020844
752,0.046654,0.004992,-0.020343
753,0.045562,0.004876,-0.019868
754,0.044523,0.004766,-0.019415
755,0.043535,0.004661,-0.018984
756,0.042595,0.004561,-0.018575
757,0.041702,0.004466,-0.018185
758,0.040851,0.004375,-0.017814
759,0.040042,0.004289,-0.017462
760,0.049059,0.005250,-0.021392
761,0.047851,0.005121,-0.020865
762,0.046702,0.004999,-0.020365
763,0.045609,0.004883,-0.019888
764,0.044569,0.004772,-0.019435
765,0.043580,0.004667,-0.019004
766,0.042639,0.004567,-0.018594
767,0.041744,0.004471,-0.018204
768,0.040893,0.004381,-0.017833
769,0.040084,0.004295,-0.017480
770,0.049056,0.005243,-0.021390
771,0.047850,0.005115,-0.020864
772,0.046702,0.004993,-0.020363
